Time (s)	PSI(P = 1.99 nW*um^-2)(a.u.) 000	PSI(P = 5.65 nW*um^-2)(a.u.) 001	PSI(P = 9.05 nW*um^-2)(a.u.) 002	PSI(P = 12.39 nW*um^-2)(a.u.) 003	PSI(P = 15.64 nW*um^-2)(a.u.) 004	PSI(P = 18.78 nW*um^-2)(a.u.) 005	PSI(P = 21.92 nW*um^-2)(a.u.) 006	PSI(P = 24.97 nW*um^-2)(a.u.) 007	PSI(P = 28.01 nW*um^-2)(a.u.) 008
2328.25	53.38765537870688	63.679408053983956	69.18778047369808	72.71074719602834	76.28091152234066	78.12552389637482	76.19067625512056	78.41952971796293	79.40851989802862
2328.3	53.326899141012746	63.61313614217705	69.00788102351525	72.91616758861117	76.17295319929056	77.91377660367236	76.67875772393742	77.95342134615493	79.44076451026402
2328.35	53.60191595606683	63.571669198953785	69.35039184197221	72.84440453361604	76.35194766093967	77.61734922374777	76.35240080551053	78.09248934791567	79.37761017340968
2328.4	53.5690355477431	63.46824334136493	69.07602627533915	72.7537014109239	76.36095619177257	77.94611447437069	76.37481762017445	78.08075679742721	79.44218196576878
2328.45	53.2567910954374	63.61718565957685	68.9657618964921	72.57881457857236	76.32258119334742	77.87251255038413	76.4687603626446	77.91417369643496	79.50107903546647
2328.5	53.31429771126881	63.4929201383894	69.08836281418428	72.864549174783	76.27545669676665	77.97188764429598	76.66047207857471	78.12446735757203	79.49171151142232
2328.55	53.34439445425306	63.70428601890631	68.98041867431786	72.94230840132711	76.01810501803202	77.88974520161092	76.69371961776395	78.06133519784832	79.49171151142232
2328.6	53.60649893786283	63.50529800062669	68.99557557176493	73.22220566919043	76.26097791344341	77.75289706641495	76.32332075760816	78.09530516822836	79.1571222803103
2328.65	53.311727350815126	63.60482263667902	69.24960136181814	72.82438929903806	76.34766440903117	77.87786643958444	76.70956115913249	78.12488568500548	79.50580425392987
2328.7	53.32502439010999	63.44734374419981	69.04355789861226	72.82489438880107	76.33412530743091	77.59973778116262	76.6036794424412	78.34596563729944	79.6872540043022
2328.75	53.61453395755282	63.72089337311249	68.97635563772685	72.65532784740003	76.08370550482597	77.9707812814747	76.50865348156545	78.19949620097452	79.6872540043022
2328.8	53.48254404816748	63.67940029950049	69.47823392130647	72.94501687073334	76.26159135760115	78.0307030140396	76.42694021644735	78.22562573368484	79.25379920235265
