Time (s)	PSI(P = 1.99 nW*um^-2)(a.u.)
25.65	10.049237657355992
25.7	9.91824849869744
25.75	9.954530033373768
25.8	9.904873548864002
25.85	10.047991164211487
25.9	9.906762364667415
25.95	10.024466081395166
26.001	9.978669773482949
26.05	9.874498467760496
26.1	9.65991172854018
26.15	9.835597450121963
26.2	9.665179724249708
26.25	9.931572055719176
26.3	9.818560595561776
26.35	9.621136198266502
26.4	9.945382778464243
26.45	9.527837249251224
26.5	9.766020985255357
26.556	9.814487319559955
26.601	9.860040863431704
26.65	9.805607240553474
26.7	9.740135517432915
26.75	9.620431852722898
26.8	9.740703812048402
26.851	9.795172852408319
26.9	9.673553528532338
26.95	9.671876925862954
27.0	9.810744584841071
27.05	9.634557026419076
27.1	9.978478301012574
27.15	9.711709686877093
27.2	9.658939533921945
27.25	9.661337717043402
27.3	9.68770746148195
27.35	9.67762281706557
27.4	9.863006449435675
27.451	9.590346239300215
27.501	9.541025146473942
27.55	9.677865464924354
27.6	9.629990757867539
27.65	9.593896988391569
27.7	9.790356933858636
27.75	9.743039461807939
27.8	9.633558984994155
27.85	9.584363496755747
27.901	9.685289024216532
27.95	9.609447311367434
28.0	9.691998283839585
28.05	9.563476136115824
28.1	9.697255184768196
28.15	9.659425398892873
28.2	9.683130232003828
28.25	9.603447008723359
28.3	9.565057434762002
28.35	9.502453784717797
28.4	9.419028163888395
28.45	9.559409501324886
28.5	9.596206256080135
28.551	9.778121159719522
28.6	9.49736638380431
28.65	9.663012366643478
28.7	9.404007453791817
28.751	9.543683050498169
28.8	9.671158032086547
28.85	9.734004227146968
28.901	9.80813636255629
28.951	9.435374581872372
29.0	9.498640203620194
29.05	9.533482281100863
29.1	9.493415063544564
29.15	9.381104219385099
29.2	9.595165478420068
29.251	9.48979030916281
29.3	9.744922200791702
29.35	9.582597189699419
29.401	9.582597189699419
29.45	9.483166276853009
29.5	9.53026487581002
29.55	9.341154201013726
29.601	9.238083590752659
29.65	9.603710660953997
29.7	9.417324608905588
29.75	9.445781117768917
29.8	9.564490866295584
29.85	9.53943573109876
29.9	9.541245239317673
29.95	9.518299310347848
30.0	9.480832710096376
30.05	9.598783775862861
30.1	9.75133959809395
30.151	9.423479840658345
30.2	9.416779269931784
30.25	9.329609396045647
30.3	9.282068363972938
30.351	9.240631580046866
30.401	9.451636503969317
30.451	9.353467339842904
30.5	9.388305699525995
30.551	9.571581594109876
30.6	9.335789965256108
30.651	9.622709556205308
30.7	9.483866972146366
30.75	9.341884850327979
