Time (s)	PSI(P = 2 nW*um^-2)(a.u.) 
31.052	0.564172215364671
31.092	0.547339817479906
31.132	0.585211713772235
31.172	0.577998366214033
31.212	0.587015697040155
31.253	0.577998366214033
31.293	0.576795867399873
31.333	0.56056518901555
31.373	0.564772994678391
31.413	0.570183299155392
31.453	0.576795867399873
31.493	0.571987282423312
31.533	0.576195088086153
31.573	0.579801409295234
31.613	0.581605392563154
31.654	0.587015697040155
31.694	0.582206171876874
31.735	0.559964409701828
31.776	0.56958251984167
31.816	0.577397586900313
31.856	0.576795867399873
31.897	0.587616476353875
31.937	0.590021238935515
31.977	0.564172215364671
32.018	0.570183299155392
32.059	0.574992824318672
32.099	0.570183299155392
32.139	0.587616476353875
32.179	0.589420459621795
32.219	0.570784783609152
32.259	0.567177757260031
32.299	0.574391104818233
32.339	0.552750121956907
32.379	0.568380021027512
32.419	0.56958251984167
32.459	0.580403128795673
32.499	0.577397586900313
32.54	0.567177757260031
32.58	0.55936269020139
32.62	0.546137318665747
32.66	0.56357049586423
32.7	0.571987282423312
32.741	0.561767452783029
32.781	0.566576977946311
32.821	0.557559647120189
32.861	0.554554105224829
32.901	0.541929513002905
32.941	0.555756368992308
32.981	0.564772994678391
33.021	0.561166673469309
33.061	0.552750121956907
33.101	0.557559647120189
33.142	0.564172215364671
33.182	0.552149342643187
33.222	0.553351606410668
33.262	0.55876191088767
33.302	0.56597525844587
33.342	0.562368232096749
33.382	0.570784783609152
33.422	0.570183299155392
33.462	0.561166673469309
33.502	0.570784783609152
33.542	0.575593603632393
33.582	0.556357148306028
33.622	0.564772994678391
33.662	0.566576977946311
33.702	0.573188841050752
33.742	0.55936269020139
33.782	0.56056518901555
33.822	0.550946843829027
33.863	0.56296995159719
33.903	0.579200629981512
33.944	0.597836305994157
33.984	0.582807891377314
34.024	0.567778536573751
34.065	0.564772994678391
34.105	0.56296995159719
34.145	0.570183299155392
34.186	0.579801409295234
34.226	0.578599850667793
34.266	0.578599850667793
34.306	0.570183299155392
34.346	0.56537471417883
34.386	0.573790325504513
34.426	0.548542081247387
34.466	0.543131776770386
34.507	0.566576977946311
34.547	0.543131776770386
34.587	0.561767452783029
34.627	0.567177757260031
34.667	0.540126469921706
34.707	0.546137318665747
34.747	0.541929513002905
34.788	0.568980800341232
34.829	0.567177757260031
34.869	0.548542081247387
34.909	0.564172215364671
34.949	0.550946843829027
34.989	0.553351606410668
35.029	0.533513666630544
35.071	0.56537471417883
35.111	0.56537471417883
35.151	0.56537471417883
35.191	0.56056518901555
35.231	0.541328733689185
35.271	0.548542081247387
35.311	0.548542081247387
35.351	0.544935995084985
35.391	0.548542081247387
35.431	0.534716165444704
35.471	0.544935995084985
35.511	0.534115386130984
35.551	0.531108904048904
35.591	0.546739038166186
35.632	0.546739038166186
35.672	0.537120928026344
35.712	0.537120928026344
35.752	0.542531232503345
35.792	0.537721707340064
35.833	0.511271904455499
35.873	0.523294777176982
35.913	0.537120928026344
35.953	0.527502582839823
35.994	0.525097820258181
36.034	0.539525690607986
36.074	0.537721707340064
36.114	0.537120928026344
36.154	0.537120928026344
36.194	0.544935995084985
36.234	0.535918429212184
36.275	0.548542081247387
36.316	0.521490793909062
36.356	0.531710623549343
36.396	0.521490793909062
36.437	0.535918429212184
36.478	0.529305860967703
36.519	0.535918429212184
36.559	0.514877990617901
36.6	0.520890014595341
36.641	0.528103362153543
36.681	0.535918429212184
36.721	0.531108904048904
36.761	0.535316709711745
36.801	0.535316709711745
36.841	0.516080489432061
36.881	0.532311402863063
36.921	0.528705081653983
36.961	0.519086031327421
37.001	0.529906640281423
37.041	0.538323191793825
37.081	0.51427744635086
37.121	0.51367572685042
37.161	0.51187268376922
37.201	0.519086031327421
37.241	0.526901098386063
37.281	0.537721707340064
37.321	0.534115386130984
37.361	0.523294777176982
37.401	0.532311402863063
37.441	0.528705081653983
37.481	0.540126469921706
37.521	0.555154884538549
37.561	0.534115386130984
37.602	0.528705081653983
37.642	0.535918429212184
37.682	0.544935995084985
37.722	0.547339817479906
37.762	0.540727014188746
37.802	0.541328733689185
37.842	0.538323191793825
37.883	0.5166822089325
37.923	0.525698599571903
37.964	0.531710623549343
38.005	0.538323191793825
38.045	0.550946843829027
38.085	0.534115386130984
38.126	0.564172215364671
38.166	0.537721707340064
38.207	0.547339817479906
38.247	0.547339817479906
38.287	0.533513666630544
38.328	0.551547623142749
38.368	0.537721707340064
38.408	0.543131776770386
38.448	0.549744580061548
38.488	0.534115386130984
38.528	0.532311402863063
38.568	0.541929513002905
38.609	0.543733496270826
38.65	0.545536539352026
38.691	0.554554105224829
38.731	0.546137318665747
38.771	0.538323191793825
38.811	0.531710623549343
38.851	0.531710623549343
38.891	0.526300319072342
38.931	0.538923971107545
38.971	0.532311402863063
39.011	0.535316709711745
39.051	0.520288295094902
39.091	0.539525690607986
39.131	0.529906640281423
39.171	0.533513666630544
39.211	0.529305860967703
39.251	0.537721707340064
39.291	0.528103362153543
39.331	0.522693057676542
39.371	0.528103362153543
39.411	0.537721707340064
39.451	0.525097820258181
39.491	0.525698599571903
39.531	0.526901098386063
39.571	0.527502582839823
39.611	0.523895556490702
39.651	0.514877990617901
39.691	0.533513666630544
39.731	0.526300319072342
39.771	0.540727014188746
39.811	0.525097820258181
39.851	0.540126469921706
39.891	0.531710623549343
39.931	0.535918429212184
39.971	0.520288295094902
40.011	0.546137318665747
40.051	0.51427744635086
40.092	0.549143800747828
40.132	0.51247416822298
40.172	0.537721707340064
40.212	0.538923971107545
40.253	0.535918429212184
40.293	0.542531232503345
40.333	0.523294777176982
40.373	0.524496335804422
40.413	0.539525690607986
40.453	0.549744580061548
40.493	0.55936269020139
40.533	0.541929513002905
40.573	0.523895556490702
40.613	0.540126469921706
40.653	0.543733496270826
40.693	0.544334275584546
40.733	0.522092513409501
40.774	0.534716165444704
40.815	0.537120928026344
40.855	0.528705081653983
40.895	0.509467921187579
40.935	0.518485252013701
40.977	0.532311402863063
41.017	0.545536539352026
41.057	0.535918429212184
41.097	0.5130749475367
41.137	0.5166822089325
41.178	0.527502582839823
41.218	0.547339817479906
41.258	0.528705081653983
41.298	0.521490793909062
41.339	0.51067018495506
41.381	0.536519208525905
41.421	0.517884472699981
41.461	0.529305860967703
41.501	0.520890014595341
41.542	0.518485252013701
41.582	0.523895556490702
41.622	0.51427744635086
41.662	0.526901098386063
41.703	0.5130749475367
41.743	0.530508124735183
41.783	0.51067018495506
41.823	0.502855117896417
41.863	0.51367572685042
41.903	0.518485252013701
41.943	0.522092513409501
41.983	0.527502582839823
42.023	0.51367572685042
42.064	0.505259880478059
42.104	0.517884472699981
42.145	0.519687750827861
42.185	0.51427744635086
42.225	0.528705081653983
42.266	0.501653794315656
42.306	0.528103362153543
42.346	0.5166822089325
42.387	0.502254338582697
42.427	0.505861599978497
42.467	0.522092513409501
42.507	0.51367572685042
42.548	0.522092513409501
42.589	0.506462379292219
42.631	0.507063863745978
42.671	0.510069405641338
42.711	0.508265422373418
42.751	0.508867141873859
42.791	0.51427744635086
42.831	0.522693057676542
42.871	0.510069405641338
42.912	0.501052074815218
42.952	0.51367572685042
42.993	0.520890014595341
43.033	0.520890014595341
43.073	0.499849576001057
43.114	0.516080489432061
43.154	0.516080489432061
43.194	0.501052074815218
43.234	0.501052074815218
43.274	0.492636228442855
43.315	0.51728275319954
43.355	0.500451295501496
43.396	0.499248796687337
43.436	0.51728275319954
43.477	0.500451295501496
43.517	0.499849576001057
43.557	0.515479710118339
43.597	0.509467921187579
43.638	0.523294777176982
43.678	0.508867141873859
43.718	0.506462379292219
43.758	0.495641770338217
43.799	0.488428422780014
43.839	0.508265422373418
43.88	0.5166822089325
43.921	0.5130749475367
43.961	0.496844034105696
44.001	0.515479710118339
44.041	0.498046532919856
44.081	0.508265422373418
44.121	0.498046532919856
44.161	0.520288295094902
44.201	0.490833185361654
44.241	0.518485252013701
44.281	0.51247416822298
44.321	0.492034508942416
44.361	0.506462379292219
44.401	0.510069405641338
44.441	0.505259880478059
44.481	0.514877990617901
44.521	0.523294777176982
44.561	0.519086031327421
44.601	0.530508124735183
44.641	0.475203051244372
44.682	0.480012576407653
44.722	0.51187268376922
44.762	0.504659101164339
44.802	0.51247416822298
44.842	0.495641770338217
44.882	0.5166822089325
